timestamp,open,high,low,close,volume
2024-05-07 19:00:00,63740.1,63829.2,63700.6,63734.1,42.563
2024-05-07 19:15:00,63734.1,63890,63720,63773.4,39.864
2024-05-07 19:30:00,63773.4,63777.2,63650,63663.1,10.355
2024-05-07 19:45:00,63663.1,63665.6,63487.5,63529.4,27.903
2024-05-07 20:00:00,63529.4,63626.2,63472.6,63626.1,18.821
2024-05-07 20:15:00,63626.1,63641.5,63350.4,63490.4,28.402
2024-05-07 20:30:00,63490.4,63518.3,63370.8,63371.6,17.481
2024-05-07 20:45:00,63371.6,63522.3,63347.5,63489.9,39.567
2024-05-07 21:00:00,63489.9,63494.2,63314.1,63386.5,43.748
2024-05-07 21:15:00,63386.5,63397.3,63231.1,63237.7,37.793
2024-05-07 21:30:00,63237.7,63272.2,63117.5,63117.5,57.883
2024-05-07 21:45:00,63117.5,63194.2,62829.2,62939.3,1175.629
